,molecule_chembl_id,IC50,units,SMILES,pIC50,activity_label,ML_activity_label
1375,CHEMBL3770555,33.6,nM,Cc1cnc(-c2nc(C(=O)NCCCCC(=O)C(F)(F)F)c(C3CC3)s2)s1,7.473660722610156,active,1
1376,CHEMBL4437165,34.0,nM,CN(C)c1cccc2c(S(=O)(=O)N(CCCCCC(=O)NO)CC(=O)NCc3ccccc3)cccc12,7.468521082957745,active,1
1377,CHEMBL3098695,34.0,nM,O=C(CCCCC[C@H](NC(=O)[C@@H]1CC(=O)N1)C(=O)Nc1ccccc1)NO,7.468521082957745,active,1
1378,CHEMBL251145,34.0,nM,N#Cc1cccc(NC(=O)C(C(=O)Nc2cccc(C#N)c2)c2ccc(C(=O)Nc3ccccc3N)cc2)c1,7.468521082957745,active,1
1379,CHEMBL3098691,34.0,nM,O=C(CCCCC[C@H](NC(=O)[C@@H]1CCC(=O)N1)C(=O)Nc1ccccc1)NO,7.468521082957745,active,1
1380,CHEMBL4794998,34.0,nM,C=CC(=O)Nc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OCc1cn(CCCC(=O)NO)nn1,7.468521082957745,active,1
1381,CHEMBL4849689,34.0,nM,COc1cc2c(NCC3CCC(c4ccc(C(=O)NO)cc4)CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,7.468521082957745,active,1
1382,CHEMBL3923499,34.0,nM,Cc1ccc(NC(=O)N2CCC(Nc3ncc(C(=O)NO)cn3)(c3ccccc3)CC2)cc1,7.468521082957745,active,1
1383,CHEMBL453396,34.0,nM,CONC(=O)CCCCC[C@H](NC(=O)Cc1c(C)[nH]c2ccc(OC)cc12)c1ncc(-c2ccc3ccccc3c2)[nH]1,7.468521082957745,active,1
1384,CHEMBL1084357,34.0,nM,O=C(CCCCCNC(=O)NC(=O)c1ccc2c(c1)nc(CCc1ccccc1)n2CCN1CCCC1)NO,7.468521082957745,active,1
1385,CHEMBL3664137,34.0,nM,Nc1ccc(-c2cccs2)cc1NC(=O)c1ccc(CNCC(=O)O)cc1,7.468521082957745,active,1
1386,CHEMBL4748100,34.03,nM,COc1cc2c(Oc3ccc(NC(=O)c4nn(-c5ccccc5)cc(C)c4=O)cc3)ccnc2cc1OCCCCCCC(=O)NO,7.468138050904191,active,1
1387,CHEMBL5076728,34.2,nM,O=C(CCCCCCn1cc(Nc2ncc3ccn(Cc4ccccc4F)c3n2)cn1)NO,7.465973893943865,active,1
1388,CHEMBL5078723,34.2,nM,O=C(CCCCCCCNc1nn2c(=O)c3cc(Br)ccc3nc2c2ccccc12)NO,7.465973893943865,active,1
1389,CHEMBL4087230,34.58,nM,COc1ccc(Cl)cc1C(=O)NCCc1cccc(/C=C/C(=O)NO)c1,7.461175011062096,active,1
1390,CHEMBL5093545,34.8,nM,O=C(CCCCCCCNc1nn2c(=O)c3cc(Cl)ccc3nc2c2ccccc12)NO,7.458420756053419,active,1
1391,CHEMBL4740648,34.84,nM,CCc1cn(-c2ccccc2)nc(C(=O)Nc2ccc(Oc3ccnc4cc(OCCCCCCC(=O)NO)c(OC)cc34)cc2)c1=O,7.4579218536643745,active,1
1392,CHEMBL404172,35.0,nM,O=C1N[C@@H]2CCCCCCCCCCCC[C@H](NC2=O)C(=O)N2CCC[C@@H]2C(=O)N[C@H]1CCCCCSSc1ccccn1,7.455931955649724,active,1
1393,CHEMBL3664115,35.0,nM,CNCCN(C)Cc1ccc(C(=O)Nc2cc(-c3ccccc3)ccc2O)cc1,7.455931955649724,active,1
1394,CHEMBL3655944,35.0,nM,C[C@@H](Nc1ncc(C(=O)NO)cn1)c1ccccc1,7.455931955649724,active,1
1395,CHEMBL3311464,35.0,nM,O=C(CCCCCCC(=O)Nc1ccc2[nH]c(=O)ccc2c1)NO,7.455931955649724,active,1
1396,CHEMBL3335299,35.0,nM,O=C(CCCCc1ccn(Cc2ccc(Nc3ccccc3)cc2)n1)NO,7.455931955649724,active,1
1397,CHEMBL320909,35.0,nM,O=C(CCCCCC(=O)c1ccc2ccccc2c1)NO,7.455931955649724,active,1
1398,CHEMBL2312466,35.0,nM,Nc1ccccc1NC(=O)c1ccc(CNc2nccc(-c3cnc4ncccn34)n2)cc1,7.455931955649724,active,1
1399,CHEMBL3664083,35.0,nM,CC(C)CNCc1ccc(C(=O)Nc2cc(-c3ccccc3)ccc2N)cc1,7.455931955649724,active,1
1400,CHEMBL3335284,35.0,nM,O=C(CCCCc1ccnn1Cc1cccc(-c2ccccc2)c1)NO,7.455931955649724,active,1
1401,CHEMBL466013,35.0,nM,CN1CCC(C(=O)N[C@@H](CCCCCC(=O)O)c2ncc(-c3ccc4ccccc4c3)[nH]2)CC1,7.455931955649724,active,1
1402,CHEMBL3621287,35.0,nM,O=C(CCCCCNC(=O)Cn1cnc2c(N3CCOCC3)nc(Nc3ccccc3)nc21)NO,7.455931955649724,active,1
1403,CHEMBL5287395,35.0,nM,N#Cc1cccc(-c2cn(CCCCCCn3cccc(/C=C/C(=O)NO)c3=O)nn2)c1,7.455931955649724,active,1
1404,CHEMBL251337,35.0,nM,COc1cccc(NC(=O)C(C(=O)Nc2cccc(OC)c2)c2ccc(C(=O)Nc3ccccc3N)cc2)c1,7.455931955649724,active,1
1405,CHEMBL4746214,35.0,nM,Nc1ccc(-c2nc(N3CCOCC3)c3ncn(CCCCCC(=O)NO)c3n2)cn1,7.455931955649724,active,1
1406,CHEMBL3309298,35.0,nM,CC1(C)CC(=O)Nc2ccc(C(=O)NC[C@H]3CC[C@H](CCC(=O)NO)CC3)cc21,7.455931955649724,active,1
1407,CHEMBL3693786,35.0,nM,O=C(CCCCCCNC(=O)c1cnc(N(c2ccccc2)c2ccccc2Cl)nc1)NO,7.455931955649724,active,1
1408,CHEMBL319738,35.0,nM,O=C(CCCCCCC(O)c1ccc2ccccc2c1)NO,7.455931955649724,active,1
1409,CHEMBL1630109,35.0,nM,O=C(/C=C/c1cccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)c1)NO,7.455931955649724,active,1
1410,CHEMBL1808640,35.0,nM,COc1ccc(S(=O)(=O)N2Cc3ccc(/C=C/C(=O)NO)cc3C2)cc1,7.455931955649724,active,1
1411,CHEMBL3939120,35.0,nM,CC(C)Cc1sc(-c2nccs2)nc1C(=O)NCCCCCC(=O)NO,7.455931955649724,active,1
1412,CHEMBL4797194,35.2,nM,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(C)CC2)c1[nH]c(-c2ccc(F)cc2F)nc1C#N,7.453457336521869,active,1
1413,CHEMBL3601335,35.41,nM,Cc1ccc(Nc2nccc3ccc(NC(=O)CCCCCCC(=O)NO)cc23)c(F)c1,7.450874073241889,active,1
1414,CHEMBL4739902,35.6,nM,CCC(=O)CCCCC[C@H](NC(=O)c1ccon1)c1[nH]c(-c2ccc(F)cc2)nc1C#N,7.448550002027125,active,1
1415,CHEMBL3339010,35.89,nM,O=C(CCCCCC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1)NO,7.44502654166676,active,1
1416,CHEMBL4798571,35.95,nM,CN(C)CCOc1ccc(-c2cc(=O)c3c(O)cc(OCCCCCC(=O)NO)cc3o2)cc1.Cl,7.444301105281099,active,1
1417,CHEMBL251144,36.0,nM,Nc1ccccc1NC(=O)c1ccc(C(C(=O)Nc2ccccc2)C(=O)Nc2ccccc2)cc1,7.443697499232712,active,1
1418,CHEMBL4163681,36.0,nM,O=C(CCCCCCN(Cc1ccc(F)cc1)c1ncc(C(=O)NCCCn2ccnc2)s1)NO,7.443697499232712,active,1
1419,CHEMBL3288489,36.0,nM,O=C(CCCCCCS)Nc1nc(-c2ccc(F)cc2)cs1,7.443697499232712,active,1
1420,CHEMBL4753908,36.0,nM,CC(C)Oc1ccc(C(C)(C)O)cc1-c1cn(C)c(=O)c2[nH]c(C(=O)NCc3ccc(C(=O)NO)cc3)cc12,7.443697499232712,active,1
1421,CHEMBL5073322,36.0,nM,CN1c2ccc(F)cc2C(=O)N2CCc3c([nH]c4ccc(OCc5ccc(/C=C/C(=O)NO)cc5)cc34)C21,7.443697499232712,active,1
1422,CHEMBL4166793,36.0,nM,CC(C)CCN(CCCCCCC(=O)NO)c1ncc(C(=O)NCc2cccnc2)s1,7.443697499232712,active,1
1423,CHEMBL393260,36.0,nM,C[C@@H]1NC(=O)[C@]2(CCc3ccccc32)NC(=O)[C@H](CCCCCSSc2ccccn2)NC(=O)[C@H]2CCCN2C1=O,7.443697499232712,active,1
1424,CHEMBL4069283,36.0,nM,O=C(CCCCCCCn1cc(-c2ncnc3[nH]ccc23)cn1)NO,7.443697499232712,active,1
1425,CHEMBL279797,36.0,nM,COc1ccc(CNC(=O)c2ccc3sc(C(=O)NO)cc3c2)cc1,7.443697499232712,active,1
1426,CHEMBL470156,36.0,nM,Cn1cc(-c2ccc(N)c(NC(=O)c3ccc(N4CCC5(CCNC5)CC4)nc3)c2)cn1,7.443697499232712,active,1
1427,CHEMBL1830422,36.0,nM,CCCCCCc1nc2cc(/C=C/C(=O)NO)ccc2n1CCNC(C)C,7.443697499232712,active,1
1428,CHEMBL4176291,36.2,nM,O=C(NO)c1ccc(CN2C(=O)c3cccc4c(N5CCOCC5)ccc(c34)C2=O)cc1,7.441291429466834,active,1
1429,CHEMBL4792705,36.2,nM,O=C(CCCCCCC(=O)Nc1n[nH]c2cc(-c3ccsc3)ccc12)NO,7.441291429466834,active,1
1430,CHEMBL4568168,36.3,nM,COc1ccc(/C=C/C(=O)c2cc(OC)c(OC)c(OC)c2)cc1OCCCCCCC(=O)NO,7.440093374963888,active,1
1431,CHEMBL5072785,36.5,nM,O=C(CCCCCCCNc1nn2c(=O)c3cc(F)ccc3nc2c2ccccc12)NO,7.437707135543525,active,1
1432,CHEMBL4078716,36.5,nM,COc1ccc(C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccc(C(=O)Nc3cc(-c4cccs4)ccc3N)cc2)cc1,7.437707135543525,active,1
1433,CHEMBL270893,36.5,nM,O=C(CCCCCCC(=O)N1CCN(c2ccc(Cl)cc2)CC1)NO,7.437707135543525,active,1
1434,CHEMBL227170,36.9,nM,N[C@@H](Cc1ccc(O)cc1)C(=O)Nc1ccccc1-c1ccc(NC(=O)CCCCCCC(=O)NO)cc1,7.432973633840939,active,1
